soru1,soru2,soru3,soru4,soru5,soru6,soru7,soru8,soru9,soru10,soru11,soru12,soru13,soru14,soru15,soru16,cluster
lisans,5,Online kurslar ve eğitim platformları,Canlı quizler,Yapay Zeka ve Makine Öğrenimi,5,5,SQL,5,Mobil Uygulama Geliştirme,Microsoft Azure,5,5,Coursera,Sosyal medyada trendleri takip ederek,5,4
Lisans,3, Sosyal medya ve profesyonel ağlar,Proje tabanlı öğrenme,Yapay Zeka ve Makine Öğrenimi,4,2,Python,5,Mobil Uygulama Geliştirme,Google Cloud,5,3,FreeCodeCamp,Reklam,4,3
Doktora programı,5,Sosyal medya ve profesyonel ağlar,Haftalık veya günlük ödevler,Yazılım Test Otomasyonu,5,4,C#,5,Yazılım Test Otomasyonu,Amazon Web Services (AWS),5,4,Udemy,Daha yetkin eğitmenlerle çalışması,5,6
Ön lisans,4,online kurslar ve eğitim platformları,Haftalık veya günlük ödevler,Mobil Uygulama Geliştirme,4,4,Python,5,Yapay Zeka ve Makine Öğrenimi,Google Cloud,5,5,LinkedIn Learning,Yapay zeka ve makine öğrenimi gibi alanlarda eğitimler/seminerler vererek globalleşeceğini düşünmekteyim.,5,2
Yüksek lisans,5,Kitaplar ve yayınlar,Proje tabanlı öğrenme,Robotik ve Otomasyon,5,5,Spark,5,Robotik ve Otomasyon,Microsoft Azure,5,5,Coursera,TV,5,4
Lisans,5,Sosyal medya ve profesyonel ağlar,"Proje tabanlı öğrenme, Grup projeleri",Nesnelerin İnterneti (IoT),4,4,Java,4,Yazılım Test Otomasyonu,Microsoft Azure,5,5,Udemy,Reklam,5,1
Lisans,5,Online kurslar ve eğitim platformları,Proje tabanlı öğrenme,Yapay Zeka ve Makine Öğrenimi,5,5,C++,5,Robotik ve Otomasyon,Google Cloud,5,5,Code.org,Sosyal medya ve üniversiteler ,5,1
Lisans,4,Kitaplar ve yayınlar,Canlı quizler,Bulut Bilişim ve DevOps,3,3,C#,4,Yapay Zeka ve Makine Öğrenimi,Amazon Web Services (AWS),5,5,Udemy,Reklam,5,10
Ön lisans,5,Kitaplar ve yayınlar,"Proje tabanlı öğrenme, Hepsi",Bulut Bilişim ve DevOps,5,5,Java,5,Yapay Zeka ve Makine Öğrenimi,Amazon Web Services (AWS),5,5,Udemy,"Etkinlik, yurdışı bağlantıları",5,2
Ön lisans,5,Online kurslar ve eğitim platformları,Proje tabanlı öğrenme,Robotik ve Otomasyon,5,4, C#,5,Yapay Zeka ve Makine Öğrenimi,Google Cloud,4,5,Udemy,Özellikle online eğitimde kalite arttırılmalıdır,5,2
Lisans,4,Sosyal medya ve profesyonel ağlar,Haftalık veya günlük ödevler,Mobil Uygulama Geliştirme,5,5,Python,5,Robotik ve Otomasyon,Amazon Web Services (AWS),5,4,edX,Yurtdisi workshop ve isbirlikleri,5,5
Lisans,5,Sosyal medya ve profesyonel ağlar,Grup projeleri,Veri Bilimi ve Büyük Veri Analitiği,5,5,Java,5,Veri Bilimi ve Büyük Veri Analitiği,Microsoft Azure,5,5,Coursera,Reklam politikası ,5,1
Lisans,4,Kitaplar ve yayınlar,Haftalık veya günlük ödevler,Yazılım Güvenliği,5,5,Java,5,Veri Bilimi ve Büyük Veri Analitiği,IBM Cloud,5,5,Coursera,Reklam ,5,1
Ön lisans,5,Sosyal medya ve profesyonel ağlar,Proje tabanlı öğrenme,Robotik ve Otomasyon,4,5,Spark,5,Robotik ve Otomasyon,Google Cloud,5,4,Coursera,Reklam,5,2
Lisans,5,Sosyal medya ve profesyonel ağlar,Haftalık veya günlük ödevler,Robotik ve Otomasyon,5,5,JavaScript,5,Bulut Bilişim ve DevOps,Google Cloud,5,5,Udemy,Reklam,5,5
Ön lisans,5,Konferansları ve etkinlikler,Grup projeleri,UX/UI Tasarımı,5,5,PHP,5,Bulut Bilişim ve DevOps,IBM Cloud,5,5,W3School,Daha çok farklı alanlarda kurs vermesi,5,4
Lisans,5,Konferansları ve etkinlikler,Haftalık veya günlük ödevler,Veri Bilimi ve Büyük Veri Analitiği,5,4,R,5,Yazılım Test Otomasyonu,Microsoft Azure,5,5,W3School,Daha fazla uzman kadroya ihtiyaclari var,5,6
Lisans,4,Online kurslar ve eğitim platformları,Proje tabanlı öğrenme,Mobil Uygulama Geliştirme,5,5,R,4,Web Geliştirme,Microsoft Azure,4,4,Udemy,Video içeriklerini çoğaltmak ,4,9
Ön lisans,5,Konferansları ve etkinlikler,Haftalık veya günlük ödevler,Yapay Zeka ve Makine Öğrenimi,5,5,Ruby,5,Robotik ve Otomasyon,Microsoft Azure,5,5,Udemy,Dünya projelerine yer vermesi,5,4
Lisans,5,Online kurslar ve eğitim platformları,Haftalık veya günlük ödevler,Yapay Zeka ve Makine Öğrenimi,5,5,Python,5,Mobil Uygulama Geliştirme,Google Cloud,5,5,Udemy,TV,5,5
Lisans,5,Sosyal medya ve profesyonel ağlar,Haftalık veya günlük ödevler,Yapay Zeka ve Makine Öğrenimi,5,5,Objective-C,5,Robotik ve Otomasyon,Microsoft Azure,5,5,Udemy,sosyal medya,5,1
Lisans,5,Kitaplar ve yayınlar,Canlı quizler,Yazılım Güvenliği,4,3,R,3,Bulut Bilişim ve DevOps,Amazon Web Services (AWS),4,4,Freecoding,TV,4,8
Yüksek lisans,5,Sosyal medya ve profesyonel ağlar,Proje tabanlı öğrenme,Yapay Zeka ve Makine Öğrenimi,5,5,C#,3,Bulut Bilişim ve DevOps,IBM Cloud,5,5,Code Academy,reklam,5,1
Doktora programı,3,Konferansları ve etkinlikler,Proje tabanlı öğrenme,Yazılım Test Otomasyonu,5,4,Python,5,Yapay Zeka ve Makine Öğrenimi,Google Cloud,5,4,LinkedIn Learning,TV,5,6
Ön lisans,2,Konferansları ve etkinlikler,Canlı quizler,Yazılım Güvenliği,5,5,Objective-C,5,Bulut Bilişim ve DevOps,Google Cloud,5,5,Udemy,reklam,5,7
Lisans,5,Konferansları ve etkinlikler,Haftalık veya günlük ödevler,Veri Bilimi ve Büyük Veri Analitiği,5,5,Python,5,Robotik ve Otomasyon,Microsoft Azure,5,5,Coursera,reklam,5,1
Lisans,5,Sosyal medya ve profesyonel ağlar,Grup projeleri,Bulut Bilişim ve DevOps,5,4,Swift,5,Bulut Bilişim ve DevOps,Google Cloud,5,5,edX,TV,5,5
Ön lisans,2,Kitaplar ve yayınlar,Proje tabanlı öğrenme,Veri Bilimi ve Büyük Veri Analitiği,2,3,C#,4,Yapay Zeka ve Makine Öğrenimi,Amazon Web Services (AWS),5,5,Coursera,reklam,5,10
Ön lisans,4,Online kurslar ve eğitim platformları,Proje tabanlı öğrenme,Yapay Zeka ve Makine Öğrenimi,5,5,C++,5,Yazılım Test Otomasyonu,Oracle Cloud Infrastructure (OCI),5,5,Freecoding,reklam,5,1
Lisans,5,Online kurslar ve eğitim platformları,Haftalık veya günlük ödevler,Veri Bilimi ve Büyük Veri Analitiği,5,5,C#,5,Yapay Zeka ve Makine Öğrenimi,Microsoft Azure,5,5,Code.org,reklam,5,1
